Partner,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,City,Gender,Churn Value,CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Age,Number of Dependents,Satisfaction Score
No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Los Angeles,Male,1,4832,No,0,1,33.58,0,No,No,No,No,0.0,0,33.58,53.73,29,0,1
Yes,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,Los Angeles,Female,0,6407,Yes,1,58,48.98,76,No,Yes,No,Yes,0.0,0,2840.84,6345.94,25,0,3
Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,Los Angeles,Male,0,4986,Yes,3,49,5.29,30,No,Yes,No,Yes,0.0,0,259.21,3229.51,42,2,3
No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Los Angeles,Female,0,2725,No,0,30,19.41,27,No,No,No,Yes,0.0,0,582.3,2112.9,25,0,4
Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Los Angeles,Male,1,5789,Yes,1,47,31.35,16,No,No,Yes,Yes,0.0,0,1473.45,6222.6,61,1,1
Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Los Angeles,Male,1,2915,Yes,1,1,0.0,58,No,No,No,Yes,0.0,0,0.0,30.2,27,0,1
Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,Los Angeles,Male,0,5974,Yes,9,72,10.92,28,Yes,Yes,Yes,Yes,0.0,0,786.24,7155.69,36,0,3
No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Los Angeles,Female,1,3022,No,0,17,40.55,41,No,No,Yes,Yes,0.0,0,689.35,1782.45,20,0,1
Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,Los Angeles,Female,0,5309,Yes,3,71,47.02,12,Yes,Yes,No,Yes,0.0,0,3338.42,10105.37,69,0,4
Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Los Angeles,Male,0,4449,Yes,10,2,33.1,11,Yes,No,No,No,0.0,10,66.2,257.85,79,0,5
Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,Los Angeles,Female,0,3213,Yes,5,27,40.21,13,Yes,Yes,No,Yes,0.0,0,1085.67,2960.12,46,0,3
No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Los Angeles,Male,0,5526,No,0,1,24.48,0,No,No,No,No,0.0,0,24.48,44.68,35,0,5
No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Los Angeles,Male,0,3144,No,0,1,11.89,12,No,No,No,Yes,0.0,0,11.89,57.14,71,0,3
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,Los Angeles,Female,0,5915,Yes,7,72,23.66,26,No,Yes,No,Yes,0.0,0,1703.52,8955.22,60,0,4
No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Los Angeles,Male,1,2454,No,0,5,12.6,58,No,No,No,Yes,0.0,0,63.0,379.9,56,3,1
No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Los Angeles,Female,0,3395,No,0,46,42.44,69,Yes,No,No,Yes,0.0,0,1952.24,5500.54,19,0,3
No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Los Angeles,Male,1,2941,No,0,34,21.69,28,Yes,No,Yes,Yes,0.0,0,737.46,4286.71,51,1,2
No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Los Angeles,Female,1,5674,No,0,11,27.57,18,Yes,No,Yes,Yes,0.0,0,303.27,1408.67,48,2,3
Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,Los Angeles,Male,0,2392,Yes,6,10,26.17,7,No,No,No,Yes,0.0,0,261.7,737.4,53,0,3
Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,Los Angeles,Female,0,4715,Yes,8,70,29.38,23,No,No,No,No,0.0,80,2056.6,7008.95,52,0,3
Yes,17,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,Los Angeles,Female,0,3646,Yes,8,17,8.74,0,No,No,No,No,0.0,0,148.58,566.83,28,0,4
No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,Los Angeles,Female,0,4595,No,0,63,12.82,17,Yes,Yes,No,Yes,0.0,0,807.66,5669.11,36,0,3
Yes,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,Los Angeles,Female,0,2569,Yes,1,13,11.79,29,No,Yes,No,Yes,0.0,0,153.27,1134.72,42,0,5
No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,Los Angeles,Female,0,6434,No,0,49,27.2,24,No,No,Yes,Yes,0.0,0,1332.8,5239.5,49,0,5
No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,Los Angeles,Male,0,3805,No,0,2,40.75,71,No,No,No,Yes,0.0,0,81.5,178.5,22,0,5
No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Los Angeles,Female,1,5586,No,0,2,5.85,19,No,No,No,No,0.0,20,11.7,175.85,32,2,1
No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,Los Angeles,Male,0,4142,No,0,52,29.16,73,No,Yes,Yes,Yes,0.0,0,1516.32,5734.12,23,0,4
Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,Los Angeles,Female,0,5128,Yes,7,69,39.88,17,Yes,Yes,No,No,0.0,40,2751.72,7045.82,64,0,3
No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,Los Angeles,Female,0,2223,No,0,43,12.58,26,No,No,No,Yes,0.0,0,540.94,4379.69,65,0,4
No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Los Angeles,Female,1,2966,No,0,15,3.96,20,No,No,Yes,Yes,0.0,0,59.4,1485.8,34,1,1
Yes,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Los Angeles,Female,0,3154,Yes,9,25,30.6,2,No,Yes,No,Yes,0.0,0,765.0,2517.65,65,0,4
Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Los Angeles,Female,1,5302,Yes,1,8,48.85,17,No,No,No,Yes,0.0,0,390.8,1024.1,74,1,3
Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,Los Angeles,Female,0,5153,Yes,9,60,48.9,16,Yes,Yes,No,Yes,0.0,0,2934.0,7390.35,72,0,3
No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Los Angeles,Male,1,3179,No,0,18,11.33,52,No,No,Yes,Yes,45.61,0,203.94,1910.88,71,3,2
Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,Los Angeles,Female,0,4572,Yes,2,63,1.43,16,No,No,Yes,Yes,0.0,0,90.09,6401.29,44,0,3
Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,Los Angeles,Male,0,4582,Yes,3,66,21.79,9,Yes,Yes,No,Yes,0.0,0,1438.14,8514.49,77,0,5
Yes,34,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,Los Angeles,Female,0,5408,Yes,10,34,25.21,0,No,No,No,No,0.0,0,857.14,1751.44,61,0,3
No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,West Hollywood,Female,0,4708,No,0,72,9.47,21,Yes,Yes,Yes,No,0.0,60,681.84,8595.54,40,0,3
Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,Los Angeles,Female,0,4488,Yes,3,47,38.15,14,Yes,No,Yes,Yes,0.0,0,1793.05,6500.15,34,0,3
No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Los Angeles,Male,0,6292,No,0,60,42.88,52,No,No,No,Yes,0.0,0,2572.8,8023.5,27,0,3
Yes,72,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,Bell,Male,0,6091,Yes,7,72,0.0,17,Yes,No,No,Yes,0.0,0,0.0,2962.0,36,0,4
Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,Beverly Hills,Female,0,4948,Yes,2,18,44.97,7,Yes,Yes,No,Yes,0.0,0,809.46,1766.56,43,0,5
No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Beverly Hills,Female,1,5571,No,0,9,27.21,29,No,No,Yes,Yes,0.0,0,244.89,1102.14,41,2,3
No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,Beverly Hills,Female,0,5387,No,0,3,38.99,20,No,Yes,Yes,Yes,0.0,0,116.97,361.07,53,0,3
Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,Compton,Male,0,3817,Yes,8,47,39.52,30,No,No,No,Yes,0.0,0,1857.44,5507.79,32,0,5
No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,Compton,Female,0,4984,No,0,31,25.57,27,Yes,Yes,Yes,No,0.0,70,792.67,3359.87,61,0,5
Yes,50,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,Compton,Female,0,5849,Yes,5,50,26.95,0,No,No,No,No,0.0,0,1347.5,2278.4,37,0,4
No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,Culver City,Male,0,5983,No,0,10,48.38,42,Yes,No,No,Yes,0.0,0,483.8,1371.15,29,0,3
No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,Culver City,Male,0,3178,No,0,1,25.77,5,No,Yes,No,Yes,0.0,0,25.77,74.82,39,0,3
Yes,52,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,Downey,Female,0,5482,Yes,3,52,5.65,0,No,No,No,No,0.0,0,293.8,1384.45,24,0,3
Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Downey,Male,0,4881,Yes,9,64,16.33,10,Yes,Yes,No,Yes,0.0,0,1045.12,8144.12,71,0,4
Yes,62,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Downey,Male,0,4444,Yes,4,62,48.73,0,No,No,No,No,0.0,0,3021.26,4445.86,40,0,5
No,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,El Segundo,Female,0,5613,No,0,3,39.55,56,No,Yes,Yes,No,0.0,60,118.65,356.05,51,3,3
No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,Gardena,Female,0,4463,No,0,56,47.13,29,Yes,No,No,Yes,0.0,0,2639.28,8778.78,73,0,4
No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,Gardena,Female,0,2867,No,0,46,2.03,7,No,No,Yes,Yes,0.0,0,93.38,2782.23,50,0,5
Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,Gardena,Female,0,5614,Yes,1,8,38.78,18,No,No,No,Yes,0.0,0,310.24,792.49,62,1,3
No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,Hawthorne,Male,0,3033,No,0,30,38.61,5,No,No,No,Yes,0.0,0,1158.3,3269.6,80,0,4
Yes,45,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,Hermosa Beach,Female,0,5741,Yes,4,45,22.49,0,No,No,No,No,0.0,0,1012.05,2228.65,48,0,4
No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Huntington Park,Female,1,2483,No,0,1,13.13,57,No,No,No,Yes,0.0,0,13.13,92.48,32,3,1
Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,Lawndale,Female,0,3443,Yes,1,11,0.0,41,No,No,Yes,Yes,0.0,0,0.0,565.35,23,1,3
Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Lynwood,Female,1,3457,Yes,1,7,8.69,53,Yes,No,No,Yes,0.0,0,60.83,557.73,34,5,1
No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Malibu,Female,0,4005,No,0,42,40.15,28,Yes,Yes,Yes,No,0.0,110,1686.3,6123.8,38,0,4
Yes,49,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,Malibu,Female,0,5422,Yes,10,49,2.82,0,No,No,No,No,0.0,0,138.18,1111.53,31,0,5
No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Manhattan Beach,Male,0,3540,No,0,9,4.81,69,No,No,Yes,Yes,0.0,0,43.29,962.04,30,0,3
Yes,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,Maywood,Female,0,5255,Yes,1,35,24.53,30,No,No,No,Yes,0.0,0,858.55,3074.0,51,0,4
Yes,48,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,Pacific Palisades,Female,0,4124,Yes,10,48,37.96,0,No,No,No,No,0.0,0,1822.08,2879.08,24,0,5
Yes,46,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,Palos Verdes Peninsula,Female,0,5480,Yes,1,46,30.47,0,No,No,No,No,0.0,0,1401.62,2328.72,56,0,5
Yes,29,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,Rancho Palos Verdes,Male,0,3664,Yes,4,29,0.0,22,No,No,No,Yes,0.0,0,0.0,1009.25,47,0,3
Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Redondo Beach,Male,0,5036,Yes,5,30,6.19,21,Yes,No,No,No,0.0,120,185.7,2875.9,32,3,3
No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,Redondo Beach,Male,0,4182,No,0,1,27.65,2,No,Yes,No,Yes,0.0,0,27.65,102.35,79,0,5
Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,South Gate,Male,0,5825,No,0,66,6.22,26,Yes,Yes,Yes,Yes,0.0,0,410.52,6124.77,57,0,4
No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Topanga,Female,0,5261,No,0,65,41.78,14,Yes,No,Yes,Yes,0.0,0,2715.7,9822.7,50,0,4
No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Venice,Male,0,5781,No,0,72,24.53,12,Yes,No,Yes,Yes,0.0,0,1766.16,9225.21,52,0,3
No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Marina Del Rey,Female,1,5806,No,0,12,25.34,56,No,No,No,No,0.0,80,304.08,1311.43,34,3,1
Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,Playa Del Rey,Male,0,4117,Yes,1,71,4.85,26,No,Yes,No,Yes,0.0,0,344.35,5093.05,50,0,4
No,5,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Inglewood,Male,1,2604,No,0,5,34.26,0,No,No,No,No,0.0,0,171.3,285.15,30,0,3
No,52,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,Inglewood,Male,0,4158,No,0,52,28.3,0,No,No,No,No,0.0,0,1471.6,2578.8,62,0,4
Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Inglewood,Female,1,5337,Yes,1,25,19.76,12,Yes,No,No,Yes,13.43,0,494.0,2995.07,78,1,2
No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,Inglewood,Male,0,2710,No,0,1,41.1,0,No,No,No,No,0.0,0,41.1,61.3,19,0,3
Yes,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,Inglewood,Female,0,5612,Yes,1,1,16.44,0,No,No,No,No,0.0,0,16.44,35.89,38,2,3
No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,Santa Monica,Male,0,4741,No,0,38,3.95,21,Yes,Yes,No,Yes,0.0,0,150.1,3755.7,34,0,5
Yes,66,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,Santa Monica,Female,0,6238,No,0,66,0.0,9,Yes,No,No,Yes,0.0,0,0.0,3027.25,65,0,5
Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Santa Monica,Male,1,5034,Yes,4,68,14.79,47,Yes,Yes,Yes,Yes,0.0,0,1005.72,8617.57,26,0,2
No,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,Santa Monica,Male,0,4015,No,0,5,0.0,21,No,No,No,Yes,0.0,0,0.0,100.2,35,0,3
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,Santa Monica,Female,0,4594,Yes,1,72,25.82,59,No,No,Yes,Yes,0.0,0,1859.04,9162.09,25,0,3
No,32,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,Torrance,Female,0,3585,No,0,32,0.0,18,No,No,No,Yes,0.0,0,0.0,927.65,60,0,4
No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,Torrance,Male,0,5845,No,0,43,41.22,7,No,No,Yes,Yes,0.0,0,1772.46,5693.76,50,0,3
Yes,72,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,Torrance,Male,0,5234,Yes,1,72,49.5,0,No,No,No,No,0.0,0,3564.0,4927.25,38,0,5
Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Torrance,Male,1,5154,No,0,55,49.06,27,No,No,No,Yes,0.0,0,2698.3,7937.2,37,1,1
